obs_id,station,mode,sub_mode,intent,notes,observer,reference,utc_start,obs_duration,loop_duration,loop_rest_interval,lst_start,start_channel,n_channel,start_frequency,obs_bandwidth,samples_per_frame,time_resolution,n_timesteps,tracking,source_name,right_ascension,declination,altitude,azimuth,obs_date,n_files,size_mb,qa
eb-t0001-20241015-00006,,beamformer,power,,,,,2024-10-15 03:40:29.074,58.32179713249,,,13.068,,384,,,,0.28311552,207,,,,,,,,1,6.37,
eb-t0001-20241015-00007,,correlator,sweep,,,,,2024-10-15 04:01:06.000,764.69529604912,,,13.413,64,385,50.0,300.78125,,1.98180864,1,,,,,,,,385,411.69,
eb-t0001-20241015-00008,S8-6,correlator,sweep,Frequency sweeps for delay determination LOW stations,,Charlotte Sobey,https://jira.skatelescope.org/browse/LCO-25,2024-10-15 04:10:03.050,764.69529604911,,,13.562,64,384,50.0,300.0,,1.98180864,1,,,,,,,,384,410.62,
eb-t0001-20241015-00009,,beamformer,power,,,,,2024-10-15 04:24:08.921,1798.34978294373,,,13.798,,384,,,,0.28311552,6353,,,,,,,,1,44.4,
eb-t0001-20241015-00010,S8-1,correlator,sweep,Frequency sweeps for delay determination LOW stations,,Charlotte Sobey,https://jira.skatelescope.org/browse/LCO-26,2024-10-15 04:23:55.968,764.69529604911,,,13.794,64,385,50.0,300.78125,,1.98180864,1,,,,,,,,385,411.69,
eb-t0001-20241015-00011,,beamformer,power,,,,,2024-10-15 05:14:11.565,10018.40320515633,,,14.634,,384,,,,0.28311552,103384,,,,,,,,8,234.78,
eb-t0001-20241016-00004,S8-6,correlator,sweep,Frequency sweeps for delay determination LOW stations,MCCS may have had issues today: see thread. https://skao.slack.com/archives/C073G02LGHF/p1729044566399919?thread_ts=1728959641.003749&cid=C073G02LGHF,Charlotte Sobey,https://jira.skatelescope.org/browse/LCO-27,2024-10-16 03:43:22.014,762.99632644653,,,13.182,64,385,50.0,300.78125,,1.98180864,1,,,,,,,,385,411.69,fail
eb-t0001-20241017-00001,S8-1,correlator,sweep,Frequency sweeps for delay determination LOW stations,,Riley Keel,https://jira.skatelescope.org/browse/LCO-29,2024-10-17 04:33:53.560,764.69529604912,,,14.092,64,385,50.0,300.78125,,1.98180864,1,,,,,,,,385,411.69,
eb-t0001-20241017-00002,S8-6,correlator,sweep,Frequency sweeps for delay determination LOW stations,Ran into bug,Riley Keel,https://jira.skatelescope.org/browse/LCO-28,2024-10-17 04:33:52.700,449.58772230148,,,14.092,64,226,50.0,176.5625,,1.98180864,1,,,,,,,,226,241.66,fail
eb-t0001-20241017-00003,S8-6,correlator,sweep,Frequency sweeps for delay determination LOW stations,"Failed data capture, see successful eb-t0001-20241017-00004",Riley Keel,https://jira.skatelescope.org/browse/LCO-26,2024-10-17 04:41:31.891,305.19853043556,,,14.22,295,154,230.46875,120.3125,,1.98180864,1,,,,,,,,154,164.67,fail
eb-t0001-20241017-00004,S8-6,correlator,sweep,Frequency sweeps for delay determination LOW stations,Repeat of eb-t0001-20241017-00002,Riley Keel,https://jira.skatelescope.org/browse/LCO-28,2024-10-17 05:04:00.211,764.69529604911,,,14.595,64,385,50.0,300.78125,,1.98180864,1,,,,,,,,385,411.69,
eb-t0001-20241018-00003,,antenna-bandpass, ,,,,,2024-10-18 05:38:45.132,,,,15.242,,,,,,,,,,,,,,,16,537.38,
eb-t0001-20241021-00005,S9-2,correlator,sweep,Frequency sweeps for delay determination LOW stations,,Riley Keel,https://jira.skatelescope.org/browse/LCO-30,2024-10-21 04:47:45.192,764.69529604912,,,14.587,64,385,50.0,300.78125,,1.98180864,1,,,,,,,,385,411.69,
eb-t0001-20241021-00006,S8-6,correlator,sweep,Frequency sweeps for delay determination LOW stations,,Riley Keel,https://jira.skatelescope.org/browse/LCO-31,2024-10-21 05:38:16.970,764.69529604911,,,15.431,64,385,50.0,300.78125,,1.98180864,1,,,,,,,,385,411.69,
eb-t0001-20241021-00007,,correlator,sweep,,,,,2024-10-21 06:50:05.000,764.69529604912,,,16.631,64,384,50.0,300.0,,1.98180864,1,,,,,,,,384,410.62,
eb-t0001-20241021-00011,,correlator,sweep,,,,,2024-10-21 13:21:30.000,764.69529604911,,,23.172,64,385,50.0,300.78125,,1.98180864,1,,,,,,,,385,411.69,
eb-t0001-20241021-00012,,beamformer,power,,,,,2024-10-21 13:45:19.565,10977.83746576309,,,23.571,,384,,,,0.28311552,120336,,,,,,,,8,253.79,
eb-t0001-20241023-00005,,correlator,sweep,,,,,2024-10-23 06:48:06.000,764.69529604912,,,16.729,64,385,50.0,300.78125,,1.98180864,1,,,,,,,,385,411.69,
eb-t0001-20241023-00013,,channel-voltages,sweep,,,,,2024-10-23 09:07:01.157,,,,19.051,,,,,,,,,,,,,,,16,537.25,
eb-t0001-20241024-00001,,antenna-bandpass, ,,,,,2024-10-24 00:11:43.261,,,,10.171,,,,,,,,,,,,,,,16,537.51,
eb-t0001-20241024-00002,,antenna-bandpass, ,,,,,2024-10-24 01:06:04.766,,,,11.079,,,,,,,,,,,,,,,16,537.32,
eb-t0001-20241024-00004,,antenna-bandpass, ,,,,,2024-10-24 02:18:47.712,,,,12.294,,,,,,,,,,,,,,,16,537.51,
eb-t0001-20241024-00005,,antenna-bandpass, ,,,,,2024-10-24 04:04:02.827,,,,14.053,,,,,,,,,,,,,,,16,537.25,
eb-t0001-20241024-00008,,correlator,fixed,,,,,2024-10-25 05:45:59.007,1.98180866241,,,19.601,204,1,159.375,0.78125,,1.98180864,1,,,,,,,,243,259.84,
eb-t0001-20241025-00001,,correlator,sweep,,,,,2024-10-25 00:25:23.828,764.69529604911,,,10.465,64,385,50.0,300.78125,,1.98180864,1,,,,,,,,385,411.69,
eb-t0001-20241025-00002,,correlator,sweep,,,,,2024-10-25 00:25:23.828,764.69529604911,,,10.465,64,385,50.0,300.78125,,1.98180864,1,,,,,,,,385,411.69,
eb-t0001-20241025-00003,,correlator,sweep,,,,,2024-10-25 04:20:54.000,764.69529604911,,,14.401,64,385,50.0,300.78125,,1.98180864,1,,,,,,,,385,411.69,
eb-t0001-20241025-00004,,correlator,sweep,,,,,2024-10-25 06:13:19.000,764.69529604912,,,16.279,64,385,50.0,300.78125,,1.98180864,1,,,,,,,,385,411.69,
eb-t0001-20241025-00005,,correlator,sweep,,,,,2024-10-25 07:17:59.300,764.69529604911,,,17.36,64,385,50.0,300.78125,,1.98180864,1,,,,,,,,385,411.69,
eb-t0001-20241028-00003,,correlator,sweep,,,,,2024-10-28 03:01:35.000,764.69529604911,,,13.272,64,385,50.0,300.78125,,1.98180864,1,,,,,,,,385,411.69,
eb-t0001-20241028-00005,,beamformer,power,,,,,2024-10-28 03:23:07.734,795.55461120605,,,13.632,,384,,,,0.28311552,2811,,,,,,,,1,19.05,
eb-t0001-20241028-00007,,beamformer,power,,,,,2024-10-28 04:03:30.698,1423.50483465195,,,14.307,,384,,,,0.28311552,5029,,,,,,,,1,31.72,
eb-t0001-20241028-00009,,beamformer,power,,,,,2024-10-28 04:36:49.582,1197.57864975929,,,14.864,,384,,,,0.28311552,4231,,,,,,,,1,31.72,
eb-t0001-20241028-00011,,correlator,sweep,,,,,2024-10-28 06:38:39.000,764.69529604911,,,16.9,64,385,50.0,300.78125,,1.98180864,1,,,,,,,,385,411.69,
eb-t0001-20241028-00012,,beamformer,power,,,,,2024-10-28 07:00:26.559,1797.78355193138,,,17.264,,384,,,,0.28311552,6351,,,,,,,,1,44.4,
eb-t0001-20241028-00014,,beamformer,power,,,,,2024-10-28 07:46:33.474,1797.7835521698,,,18.035,,384,,,,0.28311552,6351,,,,,,,,1,44.4,
eb-t0001-20241028-00015,,correlator,sweep,,,,,2024-10-28 08:32:58.207,764.69529604912,,,18.81,64,385,50.0,300.78125,,1.98180864,1,,,,,,,,385,411.69,
eb-t0001-20241028-00016,,correlator,sweep,,,,,2024-10-28 08:32:58.207,764.69529604912,,,18.81,64,385,50.0,300.78125,,1.98180864,1,,,,,,,,385,411.69,
eb-t0001-20241029-00002,,correlator,sweep,,,,,2024-10-29 04:07:41.000,1525.70981359481,,,14.443,64,385,50.0,300.78125,,1.98180864,2,,,,,,,,385,816.97,
eb-t0001-20241029-00003,,correlator,sweep,,,,,2024-10-29 05:23:09.000,1525.70981383324,,,15.704,64,385,50.0,300.78125,,1.98180864,2,,,,,,,,385,812.76,
eb-t0001-20241029-00005,,correlator,sweep,,,,,2024-10-29 06:39:04.000,491.20570373535,,,16.972,64,124,50.0,96.875,,1.98180864,2,,,,,,,,125,263.14,
eb-t0001-20241029-00013,,adc-samples,synchronous,,,,,2024-10-29 07:20:46.922,5.12e-06,,,17.67,,,,,,1.25e-09,4096,,,,,,,,16,21.25,
eb-t0001-20241029-00014,,channel-voltages,sweep,,,,,2024-10-29 07:21:31.875,,,,17.682,,,,,,,,,,,,,,,16,537.25,
eb-t0001-20241029-00015,,beamformer,power,,,,,2024-10-29 07:24:53.451,57.47245073318,,,17.738,,384,,,,0.28311552,204,,,,,,,,1,6.37,
eb-t0001-20241029-00016,,beamformer,power,,,,,2024-10-29 07:29:20.706,58.32179689407,,,17.813,,384,,,,0.28311552,207,,,,,,,,1,6.37,
eb-t0001-20241029-00017,,beamformer,power,,,,,2024-10-29 07:32:22.453,57.75556612015,,,17.863,,384,,,,0.28311552,205,,,,,,,,1,6.37,
eb-t0001-20241029-00018,,beamformer,power,,,,,2024-10-29 07:36:31.858,58.32179737091,,,17.933,,384,,,,0.28311552,207,,,,,,,,1,6.37,
eb-t0001-20241029-00019,,beamformer,power,,,,,2024-10-29 08:03:56.748,598.50620913506,,,18.391,,384,,,,0.28311552,2115,,,,,,,,1,19.05,
eb-t0001-20241030-00002,,adc-samples,synchronous,,,,,2024-10-30 02:54:05.290,5.12e-06,,,13.278,,,,,,1.25e-09,4096,,,,,,,,11,14.61,
eb-t0001-20241030-00003,,antenna-bandpass, ,,,,,2024-10-30 03:24:12.972,,,,13.782,,,,,,,,,,,,,,,16,537.25,
eb-t0001-20241030-00004,,antenna-bandpass, ,,,,,2024-10-30 03:30:58.892,,,,13.895,,,,,,,,,,,,,,,16,537.32,
eb-t0001-20241030-00005,,correlator,sweep,,,,,2024-10-30 03:31:08.890,764.69529604911,,,13.898,64,385,50.0,300.78125,,1.98180864,1,,,,,,,,385,411.69,
eb-t0001-20241030-00008,,correlator,sweep,,,,,2024-10-30 05:06:45.206,764.69529604911,,,15.495,64,385,50.0,300.78125,,1.98180864,1,,,,,,,,385,411.69,
eb-t0001-20241030-00010,,correlator,sweep,,,,,2024-10-30 05:36:54.533,764.69529604912,,,15.999,64,385,50.0,300.78125,,1.98180864,1,,,,,,,,385,411.69,
eb-t0001-20241030-00011,,correlator,sweep,,,,,2024-10-30 05:50:44.000,764.6952958107,,,16.23,64,385,50.0,300.78125,,1.98180864,1,,,,,,,,385,411.69,
eb-t0001-20241030-00012,,beamformer,power,,,,,2024-10-30 06:01:21.926,1798.34978294373,,,16.408,,384,,,,0.28311552,6353,,,,,,,,1,44.4,
eb-t0001-20241030-00013,,beamformer,power,,,,,2024-10-30 06:36:45.843,8.49346542358,,,17.0,,384,,,,0.28311552,31,,,,,,,,1,6.37,
eb-t0001-20241030-00014,,beamformer,power,,,,,2024-10-30 06:38:32.611,1197.57864975929,,,17.029,,384,,,,0.28311552,4231,,,,,,,,1,31.72,
eb-t0001-20241030-00015,,beamformer,power,,,,,2024-10-30 07:00:35.614,57.75556588173,,,17.398,,384,,,,0.28311552,205,,,,,,,,1,6.37,
eb-t0001-20241030-00024,,beamformer,power,,,,,2024-10-30 07:37:44.720,57.47245049477,,,18.019,,384,,,,0.28311552,204,,,,,,,,1,6.37,
eb-t0001-20241030-00025,,beamformer,power,,,,,2024-10-30 07:40:05.908,1251.37059831619,,,18.058,,384,,,,0.28311552,4421,,,,,,,,1,31.72,
eb-t0001-20241031-00005,,beamformer,power,,,,,2024-10-31 00:55:26.450,57.75556612015,,,11.361,,384,,,,0.28311552,205,,,,,,,,1,6.37,
eb-t0001-20241031-00006,,correlator,sweep,,,,,2024-10-31 04:52:03.000,764.69529604911,,,15.315,64,385,50.0,300.78125,,1.98180864,1,,,,,,,,385,411.69,
eb-t0001-20241101-00002,,correlator,sweep,,,,,2024-11-01 02:35:33.000,764.69529581071,,,13.1,64,385,50.0,300.78125,,1.98180864,1,,,,,,,,385,411.69,
eb-t0001-20241101-00004,,beamformer,power,,,,,2024-11-01 03:00:48.122,1798.06666755676,,,13.522,,384,,,,0.28311552,6352,,,,,,,,1,44.4,
eb-t0001-20241101-00006,,correlator,sweep,,,,,2024-11-01 04:05:53.814,763.8459494114,,,14.61,64,384,50.0,300.0,,1.98180864,1,,,,,,,,384,410.62,
eb-t0001-20241101-00007,S8-6,correlator,sweep,Frequency sweeps for delay determination LOW stations,,Charlotte Sobey,https://jira.skatelescope.org/browse/LCO-37,2024-11-01 04:19:13.735,764.69529604911,,,14.833,64,385,50.0,300.78125,,1.98180864,1,,,,,,,,385,411.69,
eb-t0001-20241101-00008,S9-2,correlator,sweep,Frequency sweeps for delay determination LOW stations,,Charlotte Sobey,https://jira.skatelescope.org/browse/LCO-38,2024-11-01 04:28:15.272,764.69529604911,,,14.983,64,382,50.0,298.4375,,1.98180864,1,,,,,,,,382,408.48,
eb-t0001-20241101-00009,,beamformer,power,,,,,2024-11-01 05:05:49.577,597.65686273575,,,15.611,,384,,,,0.28311552,2112,,,,,,,,1,19.05,
eb-t0001-20241101-00010,,beamformer,power,,,,,2024-11-01 05:19:31.751,231.58849549294,,,15.84,,384,,,,0.28311552,819,,,,,,,,1,6.37,
eb-t0001-20241101-00011,,beamformer,power,,,,,2024-11-01 05:47:56.799,1798.34978294373,,,16.315,,384,,,,0.28311552,6353,,,,,,,,1,44.4,
eb-t0001-20241101-00016,,beamformer,power,,,,,2024-11-01 07:42:12.912,598.50620937347,,,18.225,,384,,,,0.28311552,2115,,,,,,,,1,19.05,
eb-t0001-20241101-00017,,beamformer,power,,,,,2024-11-01 08:04:27.943,3598.3982591629,,,18.597,,384,,,,0.28311552,12711,,,,,,,,1,82.45,
eb-t0001-20241104-00004,,correlator,sweep,,,,,2024-11-04 02:39:00.593,762.99632644653,,,13.355,64,385,50.0,300.78125,,1.98180864,1,,,,,,,,385,411.69,
eb-t0001-20241104-00006,,correlator,sweep,,,,,2024-11-04 03:05:34.038,764.69529604911,,,13.799,64,385,50.0,300.78125,,1.98180864,1,,,,,,,,385,411.69,
eb-t0001-20241104-00007,,beamformer,power,,,,,2024-11-04 03:22:27.863,1798.34978294373,,,14.081,,384,,,,0.28311552,6353,,,,,,,,1,44.4,
eb-t0001-20241104-00009,,beamformer,power,,,,,2024-11-04 04:15:54.566,1317.75455236435,,,14.974,,384,,,,0.28311552,1640,,,,,,,,8,50.93,
eb-t0001-20241104-00010,,beamformer,power,,,,,2024-11-04 07:25:22.566,1797.77470469475,,,18.141,,384,,,,0.28311552,3336,,,,,,,,8,50.93,
eb-t0001-20241104-00011,,beamformer,power,,,,,2024-11-04 12:00:59.565,4018.54169082642,,,22.747,,384,,,,0.28311552,14195,,,,,,,,1,88.79,
eb-t0001-20241105-00001,,correlator,sweep,,,,,2024-11-05 02:32:33.497,764.69529604911,,,13.313,64,385,50.0,300.78125,,1.98180864,1,,,,,,,,385,411.69,
eb-t0001-20241105-00002,,correlator,sweep,,,,,2024-11-05 03:00:27.377,764.69529604911,,,13.779,64,385,50.0,300.78125,,1.98180864,1,,,,,,,,385,411.69,
eb-t0001-20241105-00003,,beamformer,power,,,,,2024-11-05 03:39:00.565,1797.7835521698,,,14.423,,384,,,,0.28311552,6351,,,,,,,,1,44.4,
eb-t0001-20241105-00004,,beamformer,power,,,,,2024-11-05 04:12:25.974,1798.34978318214,,,14.982,,384,,,,0.28311552,6353,,,,,,,,1,44.4,
eb-t0001-20241105-00005,,beamformer,power,,,,,2024-11-05 04:48:19.325,118.05917191505,,,15.582,,384,,,,0.28311552,418,,,,,,,,1,6.37,
eb-t0001-20241105-00006,,beamformer,power,,,,,2024-11-05 04:59:37.729,117.49294090271,,,15.771,,384,,,,0.28311552,416,,,,,,,,1,6.37,
eb-t0001-20241105-00007,,beamformer,power,,,,,2024-11-05 05:02:51.177,118.05917191505,,,15.825,,384,,,,0.28311552,418,,,,,,,,1,6.37,
eb-t0001-20241105-00008,,beamformer,power,,,,,2024-11-05 05:07:54.437,117.77605652809,,,15.909,,384,,,,0.28311552,417,,,,,,,,1,6.37,
eb-t0001-20241105-00009,,beamformer,power,,,,,2024-11-05 05:12:51.169,118.05917191505,,,15.992,,384,,,,0.28311552,418,,,,,,,,1,6.37,
eb-t0001-20241105-00010,,correlator,sweep,,,,,2024-11-05 05:28:24.128,764.69529604911,,,16.251,64,385,50.0,300.78125,,1.98180864,1,,,,,,,,385,411.69,
eb-t0001-20241105-00011,,correlator,sweep,,,,,2024-11-05 06:16:01.169,764.6952958107,,,17.047,64,385,50.0,300.78125,,1.98180864,1,,,,,,,,385,411.69,
eb-t0001-20241105-00012,,correlator,sweep,,,,,2024-11-05 06:33:17.236,764.69529604912,,,17.336,64,385,50.0,300.78125,,1.98180864,1,,,,,,,,385,411.69,
eb-t0001-20241105-00013,,beamformer,power,,,,,2024-11-05 07:04:08.415,117.77605628967,,,17.852,,384,,,,0.28311552,417,,,,,,,,1,6.37,
eb-t0001-20241105-00014,,beamformer,power,,,,,2024-11-05 07:07:44.955,598.22309398651,,,17.912,,384,,,,0.28311552,2114,,,,,,,,1,19.05,
eb-t0001-20241105-00015,,beamformer,power,,,,,2024-11-05 07:20:25.469,117.77605628967,,,18.124,,384,,,,0.28311552,417,,,,,,,,1,6.37,
eb-t0001-20241105-00016,,beamformer,power,,,,,2024-11-05 07:26:29.817,598.50620937347,,,18.225,,384,,,,0.28311552,2115,,,,,,,,1,19.05,
eb-t0001-20241105-00017,,beamformer,power,,,,,2024-11-05 07:40:39.128,598.22309374809,,,18.462,,384,,,,0.28311552,2114,,,,,,,,1,19.05,
eb-t0001-20241105-00018,,beamformer,power,,,,,2024-11-05 08:02:29.703,598.50620937347,,,18.827,,384,,,,0.28311552,2115,,,,,,,,1,19.05,
eb-t0001-20241106-00001,,correlator,sweep,,,,,2024-11-06 01:06:01.000,764.69529604911,,,11.932,64,385,50.0,300.78125,,1.98180864,1,,,,,,,,385,411.69,
eb-t0001-20241106-00002,,correlator,sweep,,,,,2024-11-06 01:29:40.000,764.69529604912,,,12.327,64,385,50.0,300.78125,,1.98180864,1,,,,,,,,385,411.69,
eb-t0001-20241106-00005,,correlator,sweep,,,,,2024-11-06 02:21:25.000,764.69529604911,,,13.192,64,385,50.0,300.78125,,1.98180864,1,,,,,,,,385,411.69,
eb-t0001-20241106-00006,,beamformer,power,,,,,2024-11-06 02:51:53.661,598.50620913506,,,13.702,,384,,,,0.28311552,2115,,,,,,,,1,19.05,
eb-t0001-20241106-00008,,beamformer,power,,,,,2024-11-06 03:08:55.753,598.50620937347,,,13.986,,384,,,,0.28311552,2115,,,,,,,,1,19.05,
eb-t0001-20241106-00009,,beamformer,power,,,,,2024-11-06 03:24:25.566,3237.8373734951,,,14.245,,384,,,,0.28311552,8424,,,,,,,,8,101.65,
eb-t0001-20241106-00010,,correlator,sweep,,,,,2024-11-06 04:28:43.000,764.69529604911,,,15.32,64,385,50.0,300.78125,,1.98180864,1,,,,,,,,385,411.69,
eb-t0001-20241106-00011,,beamformer,power,,,,,2024-11-06 04:59:45.566,3470.71315956116,,,15.839,,384,,,,0.28311552,12260,,,,,,,,1,76.1,
eb-t0001-20241106-00012,,beamformer,power,,,,,2024-11-06 05:59:34.833,598.50620937347,,,16.838,,384,,,,0.28311552,2115,,,,,,,,1,19.05,
eb-t0001-20241106-00013,,beamformer,power,,,,,2024-11-06 06:14:11.206,298.12064266205,,,17.082,,384,,,,0.28311552,1054,,,,,,,,1,12.71,
eb-t0001-20241106-00014,,beamformer,power,,,,,2024-11-06 06:24:26.635,297.55441141129,,,17.254,,384,,,,0.28311552,1052,,,,,,,,1,12.71,
eb-t0001-20241106-00015,,beamformer,power,,,,,2024-11-06 06:33:21.606,297.5544116497,,,17.403,,384,,,,0.28311552,1052,,,,,,,,1,12.71,
eb-t0001-20241106-00016,,beamformer,power,,,,,2024-11-06 06:43:25.565,952.68151307106,,,17.571,,384,,,,0.28311552,3159,,,,,,,,3,31.78,
eb-t0001-20241106-00017,,beamformer,power,,,,,2024-11-06 07:20:08.566,1317.75455212593,,,18.185,,384,,,,0.28311552,1640,,,,,,,,8,50.93,
eb-t0001-20241106-00019,,beamformer,power,,,,,2024-11-06 14:07:38.566,4602.73287177086,,,0.995,,384,,,,0.28311552,34311,,,,,,,,3,107.86,
eb-t0001-20241106-00020,,beamformer,power,,,,,2024-11-06 22:47:37.565,8626.70241785049,,,9.685,,384,,,,0.28311552,68016,,,,,,,,3,196.61,
eb-t0001-20241107-00001,,beamformer,power,,,,,2024-11-07 01:22:52.643,598.50620937347,,,12.28,,384,,,,0.28311552,2115,,,,,,,,1,19.05,
eb-t0001-20241107-00002,,beamformer,power,,,,,2024-11-07 01:39:22.585,1797.78355193138,,,12.555,,384,,,,0.28311552,6351,,,,,,,,1,44.4,
eb-t0001-20241107-00003,,beamformer,power,,,,,2024-11-07 02:10:01.880,1198.4279961586,,,13.068,,384,,,,0.28311552,4234,,,,,,,,1,31.72,
eb-t0001-20241107-00004,,correlator,sweep,,,,,2024-11-07 03:21:15.000,764.69529604912,,,14.258,64,385,50.0,300.78125,,1.98180864,1,,,,,,,,385,411.69,
eb-t0001-20241107-00007,,beamformer,power,,,,,2024-11-07 03:54:53.280,1798.06666755676,,,14.82,,384,,,,0.28311552,6352,,,,,,,,1,44.4,
eb-t0001-20241107-00008,,beamformer,power,,,,,2024-11-07 04:25:33.120,1798.06666731834,,,15.333,,384,,,,0.28311552,6352,,,,,,,,1,44.4,
eb-t0001-20241107-00009,,beamformer,power,,,,,2024-11-07 05:54:16.903,1798.34978294373,,,16.815,,384,,,,0.28311552,6353,,,,,,,,1,44.4,
eb-t0001-20241107-00010,,beamformer,power,,,,,2024-11-07 06:32:05.473,793.85591816902,,,17.447,,384,,,,0.28311552,2805,,,,,,,,1,19.05,
eb-t0001-20241107-00011,,beamformer,power,,,,,2024-11-07 06:58:40.196,1798.06666755676,,,17.892,,384,,,,0.28311552,6352,,,,,,,,1,44.4,
eb-t0001-20241107-00012,,beamformer,power,,,,,2024-11-07 07:29:17.054,660.22539258003,,,18.403,,384,,,,0.28311552,2333,,,,,,,,1,19.05,
eb-t0001-20241107-00013,,beamformer,power,,,,,2024-11-07 07:53:22.582,1797.78355193138,,,18.806,,384,,,,0.28311552,6351,,,,,,,,1,44.4,
eb-t0001-20241107-00015,,beamformer,power,,,,,2024-11-07 10:44:32.564,4437.83798789978,,,21.666,,384,,,,0.28311552,16896,,,,,,,,8,127.01,
eb-t0001-20241108-00005,,correlator,sweep,,,,,2024-11-08 06:19:56.595,82.95312380791,,,17.31,64,41,50.0,32.03125,,1.98180864,1,,,,,,,,41,43.84,
eb-t0001-20241108-00006,,correlator,sweep,,,,,2024-11-08 06:55:55.512,203.84345078469,,,17.911,64,102,50.0,79.6875,,1.98180864,1,,,,,,,,102,109.07,
